File_IDs,BIC Scores from Folder,BIC Values from Specific File,MIX_MF
R02537,5324.4565,5364.008,-39.5515
R02539,3274.3002,3279.162,-4.8618
R02540,11784.7745,11795.276,-10.5015
R02549,5850.3961,5884.404,-34.0079
R02550,6896.7775,6903.871,-7.0935
R02551,5629.0647,5658.21,-29.1453
R02554,4563.1623,4562.65,0.5123
R02557,3381.9562,3393.545,-11.5888
R02560,15100.7134,15126.637,-25.9236
R02562,1388.9791,1407.779,-18.7999
R02563,2054.3078,2063.541,-9.2332
R02566,2766.6361,2776.667,-10.0309
R02567,3718.6127,3723.797,-5.1843
R02569,4299.8505,4316.588,-16.7375
R02570,16704.0317,16761.325,-57.2933
R02571,1899.2712,1928.057,-28.7858
R02573,5619.725,5641.668,-21.943
R02578,2596.9587,2608.323,-11.3643
R02581,3386.1515,3453.618,-67.4665
R02583,6265.5194,6304.181,-38.6616
R02594,7761.1299,7798.707,-37.5771
R02595,1275.5404,1297.153,-21.6126
R02598,6711.035,6717.709,-6.674
R02601,11303.9995,11324.812,-20.8125
R02603,17933.1517,18063.038,-129.8863
R02604,8603.1083,8747.11,-144.0017
R02609,19693.9329,19735.033,-41.1001
R02611,9490.4584,9585.226,-94.7676
R02613,1642.1995,1683.584,-41.3845
R02614,4993.1979,5019.764,-26.5661
R02616,5750.0617,5779.97,-29.9083
R02617,2539.4499,2556.762,-17.3121
R02618,3580.0571,3644.847,-64.7899
R02619,3104.8185,3128.152,-23.3335
R02620,12459.5767,12513.454,-53.8773
R02627,9073.4559,9108.516,-35.0601
R02638,3998.3968,4008.415,-10.0182
R02641,2820.5243,2822.602,-2.0777
R02645,2548.7844,2549.795,-1.0106
R02646,10954.2873,11013.514,-59.2267
R02648,3847.0143,3876.446,-29.4317
R02650,4787.3878,4821.92,-34.5322
R02658,6710.8906,6746.188,-35.2974
R02678,4294.2446,4305.37,-11.1254
R02681,6818.0744,6841.318,-23.2436
R02684,5057.5588,5096.678,-39.1192
R02690,7748.7007,7770.343,-21.6423
R02698,15612.4579,15674.15,-61.6921
R02699,1945.5264,1945.528,-0.0016
R02702,1217.9987,1233.911,-15.9123
R02703,3309.1077,3351.106,-41.9983
R02704,5666.7336,5695.431,-28.6974
R02706,22857.889,23015.49,-157.601
R02708,11788.8656,11829.381,-40.5154
R02711,3422.6443,3444.477,-21.8327
R02712,3037.1524,3047.317,-10.1646
R02713,7101.0685,7141.331,-40.2625
R02716,30872.2393,30999.343,-127.1037
R02717,3356.8574,3421.797,-64.9396
R02722,3380.6083,3389.726,-9.1177
R02723,3864.8688,3880.298,-15.4292
R02726,2019.0353,2031.543,-12.5077
R02727,3745.2398,3780.543,-35.3032
R02729,3304.6995,3338.671,-33.9715
R02731,1786.3224,1829.21,-42.8876
R02738,24321.101,24555.161,-234.06
R02743,2868.5601,2870.183,-1.6229
R02744,7626.3407,7630.745,-4.4043
R02747,5834.5421,5853.006,-18.4639
R02750,14915.5731,14994.36,-78.7869
R02752,26105.5563,26288.091,-182.5347
R02753,4417.6634,4431.443,-13.7796
R02754,7539.0702,7573.664,-34.5938
R02760,2422.9124,2433.289,-10.3766
R02770,3617.7392,3625.838,-8.0988
R02785,22049.7069,22334.261,-284.5541
R02790,6971.6732,7025.378,-53.7048
R02792,1600.5272,1711.423,-110.8958
R02793,2466.9132,2512.389,-45.4758
R02794,5624.9244,5668.988,-44.0636
R02795,4987.3938,5045.936,-58.5422
R02796,5899.7083,5918.85,-19.1417
R02800,13302.4508,13425.518,-123.0672
R02801,13016.8371,13088.591,-71.7539
R02805,1666.686,1705.65,-38.964
R02806,13748.919,13762.902,-13.983
R02808,4104.845,4113.635,-8.79
R02821,7520.5838,7600.818,-80.2342
R02825,11415.1708,11468.174,-53.0032
R02828,9630.2423,9682.906,-52.6637
R02829,2592.153,2600.226,-8.073
R02833,1790.1132,1795.274,-5.1608
R02837,10949.4792,11038.458,-88.9788
R02840,2652.3172,2681.516,-29.1988
R02844,4477.5175,4485.947,-8.4295
R02859,5828.711,5837.307,-8.596
R02863,3289.6634,3319.783,-30.1196
R02864,6087.0095,6109.991,-22.9815
R02865,2771.6962,2779.906,-8.2098
R02867,4214.2282,4220.839,-6.6108
R02871,2873.5695,2874.593,-1.0235
R02872,5000.4574,5002.211,-1.7536
R02874,7391.2339,7420.517,-29.2831
R02881,2448.1888,2472.34,-24.1512
R02884,3763.8365,3779.786,-15.9495
R02887,10187.8724,10222.13,-34.2576
R02889,5068.0498,5096.189,-28.1392
R02890,3285.5981,3307.378,-21.7799
R02896,5061.3234,5140.758,-79.4346
R02899,3570.219,3578.231,-8.012
R02909,20602.6077,20679.172,-76.5643
R02921,5575.9153,5602.345,-26.4297
R02922,2672.3077,2714.349,-42.0413
R02958,3673.9521,3715.401,-41.4489
R02960,7861.6125,7889.55,-27.9375
R02962,16283.9513,16481.943,-197.9917
R02967,10180.1954,10216.448,-36.2526
R03155,16932.4331,16981.87,-49.4369
R03156,16270.0386,16380.853,-110.8144
R03166,7857.8237,7869.811,-11.9873
R03171,4552.3267,4589.008,-36.6813
R03179,4891.1147,4930.086,-38.9713
R03198,3618.0983,3660.816,-42.7177
R03201,3064.4247,3072.936,-8.5113
R03204,4867.6472,4913.205,-45.5578
R03209,3094.9463,3104.737,-9.7907
R03216,17333.1475,17456.458,-123.3105
R03218,3627.7201,3677.704,-49.9839
R03226,4962.9567,4984.501,-21.5443
R03244,10561.8905,10633.085,-71.1945
R03245,3089.6811,3097.777,-8.0959
R03301,2976.6979,3001.009,-24.3111
R03307,6143.9617,6175.175,-31.2133
R03312,1978.2383,1986.131,-7.8927
R03324,10406.5902,10428.603,-22.0128
R03337,6983.4905,7010.549,-27.0585
R03362,5102.7592,5262.177,-159.4178
R03403,6473.0604,6489.54,-16.4796
R03434,8206.134,8229.914,-23.78
R03435,5199.3508,5221.448,-22.0972
R03442,1762.923,1763.157,-0.234
R03446,4969.3293,4988.358,-19.0287
R03447,1002.5589,1024.121,-21.5621
R03452,3657.7925,3687.355,-29.5625
R03457,3734.6294,3758.535,-23.9056
R03458,3362.5491,3374.857,-12.3079
R03467,1346.9663,1383.482,-36.5157
R03480,1583.5769,1596.149,-12.5721
R03489,14121.668,14177.264,-55.596
R03490,4182.2981,4191.158,-8.8599
R03503,4286.8816,4290.716,-3.8344
R03508,923.256,938.32,-15.064
R03509,2472.824,2485.034,-12.21
R03513,10257.1569,10283.511,-26.3541
R03514,2589.8004,2602.975,-13.1746
R03515,4158.1476,4182.87,-24.7224
R03525,16396.7106,16446.162,-49.4514
R03527,2268.8075,2282.618,-13.8105
R03530,10921.5038,10956.194,-34.6902
R03550,1760.1608,1775.489,-15.3282
R03554,6044.4624,6066.588,-22.1256
R03558,7147.2343,7159.385,-12.1507
R03559,3282.8331,3293.94,-11.1069
R03563,2567.6559,2574.233,-6.5771
R03576,10141.1164,10185.427,-44.3106
R03580,1534.4148,1540.111,-5.6962
R03582,3036.5783,3055.264,-18.6857
R03584,2781.4815,2803.253,-21.7715
R03591,1729.3159,1740.34,-11.0241
R03593,2865.284,2889.922,-24.638
R03602,2584.1973,2588.16,-3.9627
R03610,4273.7837,4281.868,-8.0843
R03613,7394.1836,7412.809,-18.6254
R03614,2980.3765,3020.63,-40.2535
R03622,10810.999,10845.091,-34.092
R03625,8958.9431,8971.628,-12.6849
R03627,4447.6933,4456.807,-9.1137
R03629,8436.07,8498.467,-62.397
R03633,7037.269,7091.098,-53.829
R03638,21590.2728,21686.908,-96.6352
R03639,2747.1104,2754.355,-7.2446
R03640,1521.1592,1542.21,-21.0508
R03641,5857.044,5895.634,-38.59
R03643,9150.4901,9171.972,-21.4819
R03645,4889.0561,4917.427,-28.3709
R03649,7917.4395,7944.271,-26.8315
R03654,19230.6947,19294.93,-64.2353
R03658,2086.5987,2135.467,-48.8683
R03661,4517.0958,4538.307,-21.2112
R03669,7076.1318,7093.16,-17.0282
R03672,3841.4335,3850.878,-9.4445
R03673,3777.7194,3781.822,-4.1026
R03675,6047.7805,6047.979,-0.1985
R03677,3964.6418,3994.892,-30.2502
R03680,2977.6755,3050.752,-73.0765
R03685,5475.0852,5478.827,-3.7418
R03688,6699.0804,6743.234,-44.1536
R03695,8232.8874,8276.706,-43.8186
R03697,2915.4122,2916.177,-0.7648
R03698,4949.9419,4957.336,-7.3941
R03700,4801.9877,4858.028,-56.0403
R03703,2714.4291,2731.282,-16.8529
R03708,10435.9158,10466.669,-30.7532
R03710,17846.0838,17916.33,-70.2462
R03711,5762.4037,5765.242,-2.8383
R03712,3383.7253,3409.742,-26.0167
R03713,3943.5512,3962.688,-19.1368
R03718,3124.5729,3180.982,-56.4091
R03719,14170.2297,14225.029,-54.7993
R03720,3607.7062,3635.779,-28.0728
R03722,5217.3668,5265.981,-48.6142
R03723,2453.102,2461.364,-8.262
R03724,3854.8435,3859.316,-4.4725
R03735,4306.847,4321.307,-14.46
R03736,4796.0363,4820.597,-24.5607
R03741,5097.6779,5114.465,-16.7871
R03744,2169.8785,2186.107,-16.2285
R03747,9696.4368,9764.224,-67.7872
R03748,6028.0848,6056.442,-28.3572
R03749,8832.7492,8920.801,-88.0518
R03755,7790.0883,7822.769,-32.6807
R03757,4132.2798,4146.307,-14.0272
R03762,3521.9047,3525.033,-3.1283
R03764,7232.379,7260.871,-28.492
R03767,5875.0149,5913.269,-38.2541
R03770,14550.9135,14697.524,-146.6105
R03775,3056.2908,3063.654,-7.3632
R03777,4094.0977,4136.969,-42.8713
R03782,4947.7904,4986.962,-39.1716
R03784,3254.1879,3260.865,-6.6771
R03785,6754.3229,6775.334,-21.0111
R03792,5198.6655,5235.227,-36.5615
R03794,3798.7506,3846.879,-48.1284
R03795,8349.2437,8401.004,-51.7603
R03797,13251.5443,13309.261,-57.7167
R03801,2758.7528,2793.424,-34.6712
R03805,21419.7397,21504.463,-84.7233
R03806,11291.5136,11344.687,-53.1734
R03811,2710.9545,2712.679,-1.7245
R03817,8092.8874,8130.794,-37.9066
R03819,3545.6394,3545.05,0.5894
R03825,15921.9447,16002.303,-80.3583
R03828,1092.3301,1123.64,-31.3099
R03841,17120.3733,17141.15,-20.7767
R03850,2451.5877,2464.063,-12.4753
R03859,6733.2387,6825.015,-91.7763
R03872,5026.459,5049.376,-22.917
R03880,5142.5745,5233.989,-91.4145
R03883,10085.2668,10113.242,-27.9752
R03886,8021.3966,8090.283,-68.8864
R03887,5826.0508,5854.086,-28.0352
R03894,5215.6605,5237.988,-22.3275
R03904,12186.9677,12279.735,-92.7673
R03905,6933.1759,6984.273,-51.0971
R03906,25970.8777,26164.698,-193.8203
R03912,5497.2915,5513.978,-16.6865
R03913,7285.9989,7343.442,-57.4431
R03915,4172.1198,4206.742,-34.6222
R03919,5806.3768,5809.748,-3.3712
R03920,8688.5913,8715.286,-26.6947
R03922,1792.0687,1821.34,-29.2713
R03923,22866.0053,22965.581,-99.5757
R03924,3523.0342,3528.898,-5.8638
R03926,1569.2849,1576.295,-7.0101
R03931,7329.2351,7346.384,-17.1489
R03932,7205.2188,7218.808,-13.5892
R03933,2278.0451,2293.934,-15.8889
R03936,31114.8984,31193.412,-78.5136
R03937,4211.5174,4219.081,-7.5636
R03938,5795.2079,5840.41,-45.2021
R03940,2497.3318,2517.824,-20.4922
R03941,9846.2022,9893.485,-47.2828
R03942,8611.8579,8657.683,-45.8251
R03945,8200.708,8221.394,-20.686
R03950,7509.755,7531.44,-21.685
R03951,3871.6681,3873.316,-1.6479
R03960,5401.5674,5414.918,-13.3506
R03972,7062.2856,7119.975,-57.6894
R03976,2858.213,2883.503,-25.29
R03977,4139.0999,4158.799,-19.6991
R03978,3138.7604,3173.649,-34.8886
R03982,2660.3554,2676.935,-16.5796
R03983,12556.6866,12626.818,-70.1314
R03987,1977.5652,1995.894,-18.3288
R03988,5192.603,5205.104,-12.501
R03991,2628.5296,2637.503,-8.9734
R03996,7888.6386,7914.877,-26.2384
R04003,1309.1786,1320.964,-11.7854
R04005,5896.3107,5919.81,-23.4993
R04006,1758.4043,1758.406,-0.0017
R04007,2792.9077,2834.201,-41.2933
R04010,3108.8577,3130.516,-21.6583
R04011,14297.5591,14338.01,-40.4509
R04012,3493.6823,3498.598,-4.9157
R04016,6775.1647,6796.89,-21.7253
R04017,4908.3718,4933.507,-25.1352
R04018,1738.027,1790.605,-52.578
R04020,8326.0254,8369.418,-43.3926
R04026,5096.7527,5102.83,-6.0773
R04030,9300.6794,9360.847,-60.1676
R04032,4217.8236,4243.886,-26.0624
R04034,6181.7198,6211.531,-29.8112
R04035,1778.4413,1782.68,-4.2387
R04036,5465.9106,5475.75,-9.8394
R04040,4068.9431,4139.088,-70.1449
R04047,6924.534,6966.157,-41.623
R04049,7445.3866,7470.487,-25.1004
R04050,4327.291,4368.518,-41.227
R04068,827.5851,927.682,-100.0969
R04075,10169.6363,10194.297,-24.6607
R04076,3653.955,3672.479,-18.524
R04079,1574.1915,1721.363,-147.1715
R04080,2552.5612,2572.885,-20.3238
R04082,10189.9424,10190.351,-0.4086
R04085,7321.2233,7349.892,-28.6687
R04088,8616.2237,8667.099,-50.8753
R04089,6569.8158,6579.656,-9.8402
R04091,3398.7443,3440.853,-42.1087
R04092,6700.6835,6755.259,-54.5755
R04095,11426.4025,11439.219,-12.8165
R04096,6237.9377,6280.387,-42.4493
R04101,5517.5593,5540.592,-23.0327
R04102,4105.1252,4118.108,-12.9828
R04118,2854.3121,2870.992,-16.6799
R04119,3136.4352,3148.238,-11.8028
R04120,2185.449,2205.56,-20.111
R04122,6883.0577,6914.402,-31.3443
R04123,1293.4189,1302.087,-8.6681
R04124,4240.6074,4246.868,-6.2606
R04127,4018.9039,4034.79,-15.8861
R04133,3430.9262,3441.334,-10.4078
R04135,2133.1722,2137.089,-3.9168
R04139,4350.7824,4375.292,-24.5096
R04140,2670.7971,2688.257,-17.4599
R04145,6173.4819,6176.239,-2.7571
R04150,2809.097,2819.441,-10.344
R04153,2365.1706,2439.242,-74.0714
R04154,2090.634,2127.665,-37.031
R04158,640.5647,690.451,-49.8863
R04159,3329.4311,3343.416,-13.9849
R04162,9698.9702,9718.476,-19.5058
R04169,3506.3275,3512.753,-6.4255
R04171,3113.291,3126.137,-12.846
R04177,4411.6651,4429.401,-17.7359
R04187,1162.2228,1191.54,-29.3172
R04188,1386.9798,1432.343,-45.3632
R04196,5143.3406,5150.422,-7.0814
R04200,2758.0822,2774.138,-16.0558
R04203,4995.1351,5013.495,-18.3599
R04205,2066.7945,2073.836,-7.0415
R04208,796.0323,914.08,-118.0477
R04211,2376.1419,2384.994,-8.8521
R04216,6721.4316,6766.401,-44.9694
R04219,2919.4877,2956.422,-36.9343
R04222,8998.6519,9116.064,-117.4121
R04225,6927.9542,6969.281,-41.3268
R04233,1672.4996,1682.481,-9.9814
R04242,1666.3488,1672.223,-5.8742
R04243,3701.5165,3774.373,-72.8565
R04250,5425.7932,5440.032,-14.2388
R04254,3482.1408,3485.615,-3.4742
R04263,3064.7774,3073.081,-8.3036
R04275,6170.4911,6181.23,-10.7389
R04278,6112.989,6185.512,-72.523
R04283,8178.9286,8225.532,-46.6034
R04286,8733.8361,8771.349,-37.5129
R04288,9885.9209,9910.957,-25.0361
R04294,2414.3126,2440.734,-26.4214
R04301,12564.9323,12629.235,-64.3027
R04302,9423.043,9451.205,-28.162
R04305,2825.6273,2829.837,-4.2097
R04307,10926.1706,11010.083,-83.9124
R04315,6586.7941,6631.978,-45.1839
R04316,6034.1853,6069.377,-35.1917
R04324,4396.3544,4426.086,-29.7316
R04329,2437.109,2456.358,-19.249
R04331,3381.8847,3438.893,-57.0083
R04335,11021.8507,11027.045,-5.1943
R04343,2511.9646,2516.774,-4.8094
R04344,2692.8716,2702.363,-9.4914
R04345,12536.2828,12598.255,-61.9722
R04346,13283.7108,13357.819,-74.1082
R04349,1973.873,1988.3,-14.427
R04354,7549.2209,7600.573,-51.3521
R04355,2887.4908,2918.082,-30.5912
R04358,14179.0189,14203.505,-24.4861
R04359,5334.208,5343.184,-8.976
R04360,9077.2592,9134.716,-57.4568
R04364,19731.8005,19787.418,-55.6175
R04366,1055.1497,1072.365,-17.2153
R04367,5164.0736,5182.361,-18.2874
R04369,2028.7696,2057.337,-28.5674
R04376,1531.9628,1556.787,-24.8242
R04382,3411.1307,3418.156,-7.0253
R04387,8259.6396,8298.565,-38.9254
R04392,1850.5247,1879.786,-29.2613
R04393,3315.1826,3340.318,-25.1354
R04395,11935.1578,12059.158,-124.0002
R04396,3464.1876,3481.84,-17.6524
R04397,2181.4595,2183.531,-2.0715
R04398,3528.3511,3567.227,-38.8759
R04401,11305.4628,11348.406,-42.9432
R04402,6457.8188,6471.61,-13.7912
R04404,4962.2138,4997.279,-35.0652
R04411,4408.088,4449.64,-41.552
R04415,3228.0943,3276.46,-48.3657
R04418,2605.9018,2622.844,-16.9422
R04420,25574.0068,25609.685,-35.6782
R04421,2857.8116,2868.5,-10.6884
R04425,5749.2406,5763.942,-14.7014
R04428,8099.5009,8126.587,-27.0861
R04435,7104.4075,7118.107,-13.6995
R04437,6525.6221,6530.321,-4.6989
R04438,6419.8004,6437.011,-17.2106
R04441,7747.8297,7807.279,-59.4493
R04443,6597.5447,6623.045,-25.5003
R04445,3588.1699,3628.545,-40.3751
R04450,5968.2166,5975.119,-6.9024
R04451,2704.2499,2712.803,-8.5531
R04453,1876.8042,1921.361,-44.5568
R04456,36525.3625,37026.616,-501.2535
R04459,3199.1129,3218.431,-19.3181
R04460,4772.2242,4810.349,-38.1248
R04463,3600.8482,3629.537,-28.6888
R04464,7914.8211,7943.898,-29.0769
R04465,5554.3957,5579.513,-25.1173
R04469,6931.6261,6967.687,-36.0609
R04470,21036.8956,21088.066,-51.1704
R04471,6705.2756,6729.531,-24.2554
R04478,6154.2068,6201.92,-47.7132
R04483,3181.5435,3191.33,-9.7865
R04484,7612.1969,7709.242,-97.0451
R04486,6260.0193,6267.962,-7.9427
R04490,6006.8365,6071.995,-65.1585
R04495,6883.5476,6924.511,-40.9634
R04501,6125.2672,6129.023,-3.7558
R04521,5144.28,5176.798,-32.518
R04523,5353.5296,5362.056,-8.5264
R04538,2633.0608,2634.227,-1.1662
R04540,3559.8743,3562.06,-2.1857
R04541,4717.5879,4734.81,-17.2221
R04547,7301.6206,7387.571,-85.9504
R04548,4101.2022,4152.729,-51.5268
R04549,5396.0309,5461.557,-65.5261
R04554,3030.8357,3044.16,-13.3243
R04555,2989.6467,2997.604,-7.9573
R04556,12480.206,12543.588,-63.382
R04557,6441.4911,6459.591,-18.0999
R04558,4054.6203,4065.371,-10.7507
R04561,5783.0241,5807.81,-24.7859
R04562,5040.0853,5056.006,-15.9207
R04563,5183.5046,5193.882,-10.3774
R04564,3292.2134,3350.708,-58.4946
R04567,5391.6682,5429.159,-37.4908
R04570,1857.0767,1923.773,-66.6963
R04575,4391.1154,4398.296,-7.1806
R04578,11892.2784,11939.15,-46.8716
R04589,8993.5628,9045.685,-52.1222
R04590,1635.4707,1683.375,-47.9043
R04598,5824.4398,5830.419,-5.9792
R04600,4416.6375,4449.719,-33.0815
R04601,5077.8133,5089.549,-11.7357
R04602,998.035,1065.507,-67.472
R04604,6214.5343,6222.862,-8.3277
R04607,1662.4609,1687.265,-24.8041
R04613,9698.7617,9733.691,-34.9293
R04628,1612.7014,1613.035,-0.3336
R04632,7400.9642,7451.342,-50.3778
R04634,13412.1503,13462.272,-50.1217
R04635,16988.0277,17073.846,-85.8183
R04639,5453.019,5462.318,-9.299
R04642,3617.6698,3627.263,-9.5932
R04643,6285.0784,6323.157,-38.0786
R04646,6649.0104,6678.919,-29.9086
R04658,2839.8286,2851.613,-11.7844
R04666,7639.5005,7661.318,-21.8175
R04670,5171.1534,5174.52,-3.3666
R04674,12011.6991,12103.332,-91.6329
R04679,10243.486,10296.637,-53.151
R04680,16046.4126,16115.642,-69.2294
R04681,6414.8518,6431.813,-16.9612
R04682,5181.0665,5215.596,-34.5295
R04684,4081.7115,4100.641,-18.9295
R04689,2616.6729,2679.793,-63.1201
R04690,21008.7053,21095.706,-87.0007
R04699,6613.5919,6671.818,-58.2261
R04701,3053.3831,3058.47,-5.0869
R04715,9920.157,9934.991,-14.834
R04724,14776.3655,14873.783,-97.4175
R04735,3047.5396,3055.275,-7.7354
R04739,8257.2958,8276.159,-18.8632
R04740,9192.5877,9271.459,-78.8713
R04744,4292.2659,4310.44,-18.1741
R04746,7093.9813,7110.399,-16.4177
R04756,2065.002,2083.628,-18.626
R04758,2598.5076,2620.105,-21.5974
R04762,15485.2462,15529.391,-44.1448
R04765,5136.7727,5149.697,-12.9243
R04767,5857.9965,5903.323,-45.3265
R04772,4258.4142,4272.615,-14.2008
R04775,8153.8982,8229.683,-75.7848
R04777,4568.1752,4573.303,-5.1278
R04779,2964.8918,3005.905,-41.0132
R04785,4626.414,4653.301,-26.887
R04786,22229.9364,22324.885,-94.9486
R04787,4461.6698,4466.009,-4.3392
R04788,2546.5576,2556.747,-10.1894
R04791,5933.0611,5970.405,-37.3439
R04792,2812.2259,2815.568,-3.3421
R04795,10232.5378,10300.633,-68.0952
R04797,7673.7151,7691.211,-17.4959
R04798,8402.084,8422.718,-20.634
R04803,3597.8387,3610.972,-13.1333
R04804,1989.254,2009.085,-19.831
R04805,15018.9989,15073.85,-54.8511
R04807,4090.4882,4106.611,-16.1228
R04808,21783.8599,21845.037,-61.1771
R04809,14255.0949,14330.696,-75.6011
R04810,2699.8117,2706.115,-6.3033
R04811,6426.1369,6448.789,-22.6521
R04812,14201.0313,14252.945,-51.9137
R04813,4971.4777,4997.166,-25.6883
R04814,1162.1798,1277.929,-115.7492
R04817,1089.2708,1155.493,-66.2222
R04822,4935.1299,5048.567,-113.4371
R04990,2889.8439,2913.76,-23.9161
R05008,7520.0143,7526.779,-6.7647
R05024,6185.7552,6205.775,-20.0198
R05026,4488.7005,4499.203,-10.5025
R05032,5023.6557,5060.781,-37.1253
R05079,7017.8707,7045.226,-27.3553
R05082,14986.399,15028.335,-41.936
R05093,16414.0827,16432.636,-18.5533
R05102,6981.6303,6988.924,-7.2937
R05126,6624.9616,6644.786,-19.8244
R05151,6499.603,6512.411,-12.808
R05159,5082.6984,5098.632,-15.9336
R05168,8328.6271,8395.301,-66.6739
R05179,3758.7493,3763.451,-4.7017
R05222,6105.0004,6112.295,-7.2946
R05254,1870.7332,1889.683,-18.9498
R05255,9877.6125,9912.207,-34.5945
R05258,4061.8534,4066.208,-4.3546
R05266,4621.3679,4664.504,-43.1361
R05276,7923.5921,7987.052,-63.4599
R05277,1300.7332,1338.057,-37.3238
R05285,5899.3672,5923.951,-24.5838
R05296,11201.6083,11212.652,-11.0437
R05315,7084.9525,7118.261,-33.3085
R05327,5406.1112,5425.009,-18.8978
R05328,11414.875,11457.405,-42.53
R05331,6739.035,6767.186,-28.151
R05333,6062.0704,6098.847,-36.7766
R05338,3496.8124,3514.164,-17.3516
R05341,8842.5656,8913.552,-70.9864
R05342,2561.2953,2573.803,-12.5077
R05359,2008.1821,2028.164,-19.9819
R05365,4919.0933,4946.097,-27.0037
R05366,5305.0819,5317.291,-12.2091
R05370,11667.4743,11708.042,-40.5677
R05380,5987.0337,6007.042,-20.0083
R05381,1806.5207,1828.138,-21.6173
R05386,3968.9976,3997.267,-28.2694
R05400,6979.8441,7059.516,-79.6719
R05403,9716.7991,9783.615,-66.8159
R05416,6027.8227,6063.418,-35.5953
R05424,8630.4884,8678.466,-47.9776
R05425,4827.102,4863.282,-36.18
R05427,19610.0771,19695.462,-85.3849
R05429,7250.7801,7304.567,-53.7869
R05432,13701.446,13749.423,-47.977
R05433,4550.2721,4561.946,-11.6739
R05438,1892.9553,1980.113,-87.1577
R05442,6657.5635,6667.387,-9.8235
R05443,1561.7204,1587.029,-25.3086
R05444,2076.4802,2096.959,-20.4788
R05447,2345.2711,2364.813,-19.5419
R05453,7230.9253,7251.714,-20.7887
R05457,25926.8808,26082.78,-155.8992
R05458,5194.1119,5206.857,-12.7451
R05459,5435.6236,5448.423,-12.7994
R05464,6664.8334,6683.821,-18.9876
R05465,5028.192,5035.791,-7.599
R05467,5931.9258,5946.928,-15.0022
R05469,5003.9838,5027.654,-23.6702
R05470,3645.4786,3649.913,-4.4344
R05471,8137.9939,8167.193,-29.1991
R05472,9067.123,9127.605,-60.482
R05477,54072.3719,54096.172,-23.8001
R05479,10134.8105,10149.449,-14.6385
R05483,2616.5076,2690.348,-73.8404
R05486,3249.849,3252.393,-2.544
R05488,5274.4286,5288.5,-14.0714
R05489,6631.9011,6672.386,-40.4849
R05498,1962.7187,1965.181,-2.4623
R05499,1914.2869,1926.25,-11.9631
R05502,5696.5908,5719.151,-22.5602
R05503,3315.7525,3318.345,-2.5925
R05504,9030.6653,9049.338,-18.6727
R05506,10760.3467,10780.941,-20.5943
R05514,11578.6162,11658.315,-79.6988
R05515,7251.8856,7262.673,-10.7874
R05518,4292.6187,4341.253,-48.6343
R05528,5112.0269,5141.473,-29.4461
R05531,10365.3188,10405.3,-39.9812
R05533,22901.5762,22937.646,-36.0698
R05535,3418.0789,3437.28,-19.2011
R05538,5927.4748,5943.158,-15.6832
R05539,4926.1794,4942.265,-16.0856
R05540,7685.2798,7714.925,-29.6452
R05543,3209.2536,3234.991,-25.7374
R05544,1583.1793,1623.217,-40.0377
R05545,6469.1002,6524.219,-55.1188
R05546,4684.8832,4730.923,-46.0398
R05551,2363.4581,2377.842,-14.3839
R05557,21607.8264,21705.962,-98.1356
R05563,10302.0996,10398.158,-96.0584
R05568,13319.7789,13352.121,-32.3421
R05573,3086.0572,3101.96,-15.9028
R05579,4291.1345,4307.142,-16.0075
R05588,10319.7608,10442.721,-122.9602
R05610,16213.0807,16349.592,-136.5113
R05620,1491.0082,1504.55,-13.5418
R05626,3364.8318,3368.922,-4.0902
R05628,4808.5477,4829.367,-20.8193
R05634,6623.8928,6696.256,-72.3632
R05635,14556.7352,14619.217,-62.4818
R05637,8955.8772,8980.869,-24.9918
R05640,9091.6152,9116.416,-24.8008
R05653,15599.4259,15627.112,-27.6861
R05654,4195.9589,4228.979,-33.0201
R05656,3352.7469,3375.277,-22.5301
R05666,7232.9326,7243.655,-10.7224
R05667,4548.8007,4572.177,-23.3763
R05669,2984.8195,3004.16,-19.3405
R05670,13538.877,13557.88,-19.003
R05671,2906.8617,2921.381,-14.5193
R05676,3168.1499,3179.419,-11.2691
R05678,3696.8876,3705.902,-9.0144
R05680,2496.9055,2510.886,-13.9805
R05681,5087.2318,5110.462,-23.2302
R05685,6365.1026,6409.373,-44.2704
R05688,2581.9361,2613.307,-31.3709
R05691,3422.6749,3443.7,-21.0251
R05695,2948.3184,2949.532,-1.2136
R05696,8709.7796,8746.811,-37.0314
R05697,15161.5356,15214.564,-53.0284
R05699,5869.7599,5879.409,-9.6491
R05701,6340.5983,6364.713,-24.1147
R05702,7991.2593,8058.875,-67.6157
R05704,3755.8586,3757.222,-1.3634
R05705,3276.9408,3304.675,-27.7342
R05706,2495.6189,2523.655,-28.0361
R05710,5202.6595,5231.785,-29.1255
R05711,4218.1351,4262.074,-43.9389
R05713,5056.8524,5063.661,-6.8086
R05716,7001.4952,7012.399,-10.9038
R05719,13441.5211,13494.428,-52.9069
R05720,5532.5031,5562.551,-30.0479
R05721,8400.77,8415.854,-15.084
R05722,7942.993,8016.202,-73.209
R05726,5081.3604,5102.99,-21.6296
R05727,4478.6657,4485.451,-6.7853
R05730,2166.8422,2178.079,-11.2368
R05738,1783.8917,1786.021,-2.1293
R05739,2611.7968,2630.295,-18.4982
R05740,1968.6568,1969.792,-1.1352
R05741,1483.5384,1517.488,-33.9496
R05743,5382.3677,5397.493,-15.1253
R05744,6767.441,6781.39,-13.949
R05750,1625.9876,1632.907,-6.9194
